"Name","Category","Price","Currency","Description","Available"
"Hilal Basmati Rice","Rice",18.99,"CAD","10 lbs","1"
"Hilal Basmati Sella Rice","Rice",18.99,"CAD","10 lbs","1"
"Minar Classic Basmati Rice","Rice",20.99,"CAD","10 lbs","1"
"Naj Kalijeera Rice","Rice",23.99,"CAD","10 lbs","1"
"Nayab Basmati Rice","Rice",10.99,"CAD",NA,"1"
"Noori Basmati Rice","Rice",9.99,"CAD","8 lbs","0"
"Noori Sella Basmati Rice","Rice",9.99,"CAD","8 lbs","0"
"Parboiled Broken Rice","Rice",6.99,"CAD","4Lb","1"
"Ruposhi Bangla Miniket Perboil Rice","Rice",21.99,"CAD","20 lbs","1"
"Ruposhi Bangla Nazirshail Perboil Rice","Rice",21.99,"CAD","20 lbs","1"
"Saleem Caravan Basmati","Rice",18.99,"CAD","10 lbs","1"
"Tilda Basmati Rice","Rice",20.99,"CAD","10 lbs","1"
"Zafarani Basmati Rice","Rice",16.99,"CAD","10 lbs","0"
"Black Pepper Whole","Spices",3.99,"CAD",NA,"1"
"Chilli Powder 200g","Spices",3.99,"CAD","200gm","1"
"Cinnamon Bark","Spices",3.99,"CAD",NA,"1"
"Clove Whole 100g","Spices",5.99,"CAD",NA,"1"
"Desi Tandoori Masala","Spices",10.99,"CAD","Original Desi Mazaa","1"
"Green Cardamon","Spices",5.99,"CAD",NA,"1"
"Kalonji Powder 200g","Spices",3.99,"CAD",NA,"1"
"Kalonji seed 200gm","Spices",3.99,"CAD",NA,"1"
"Kashmiri Chilli Powder","Spices",3.99,"CAD","200gm","1"
"Mace Powder","Spices",3.99,"CAD","50gm","1"
"Mace Whole","Spices",6.99,"CAD","25g","1"
"Panch Phoran 200gm","Spices",3.99,"CAD",NA,"1"
"Panchpuram Whole 200g","Spices",3.99,"CAD","200gm","1"
"Shan Biriyani Masala","Spices",2.25,"CAD","50gm","1"
"Shan Bombay Biriyani","Spices",2.25,"CAD","50gm","1"
"Shan Butter Chicken","Spices",2.25,"CAD","50gm","1"
"Shan Chapli Kabab","Spices",2.25,"CAD","50gm","1"
"Shan Garlic & Ginger Mix Paste","Spices",7.99,"CAD","700gm","1"
"Shan Garlic Paste","Spices",3.99,"CAD","700gm","1"
"Shan Ginger Paste","Spices",3.99,"CAD","paste from fresh ginger","1"
"Shan Haleem Masala","Spices",2.25,"CAD","50gm","1"
"Shan Pulao Biriyani","Spices",2.25,"CAD","50gm","1"
"Shan Shami Kabab","Spices",2.25,"CAD","50gm","1"
"Shan Sindhi Biriyani","Spices",2.25,"CAD","50gm","1"
"Shan Tandori Chicken","Spices",2.25,"CAD","50gm","1"
"Shan Tikka Boti","Spices",2.25,"CAD","50gm","1"
"Tit Bit Black Musterd Seed","Spices",3.99,"CAD","200gm","1"
"Tit Bit Cumin Powder","Spices",3.99,"CAD","200gm","1"
"Tit Bit Cumin Seed","Spices",3.99,"CAD","200gm","1"
"Tit Bit Fennel Powder","Spices",3.99,"CAD","200gm","1"
"Tit Bit Fennel Seed","Spices",3.99,"CAD","200gm","1"
"Tit Bit Fenugreek Powder","Spices",3.99,"CAD","200gm","1"
"Tit Bit Fenugreek seed","Spices",3.99,"CAD","200gm","1"
"Tit Bit Garam Masala Powder","Spices",3.99,"CAD","200gm","1"
"Tit Bit Kalonji Powder","Spices",3.99,"CAD","200gm","1"
"Tit Bit Kalonji Whole","Spices",3.99,"CAD","200gm","1"
"Tit Bit Musterd Powder","Spices",3.99,"CAD","200gm","1"
"Tit Bit Nutmeg Whole","Spices",3.99,"CAD","50gm","1"
"Tit Bit Yellow Musterd Seed","Spices",3.99,"CAD","200gm","1"
"Tukmaria","Spices",2.99,"CAD","200gm","1"
"Chanar Sandesh","Sweet",24.99,"CAD","1000 gm","1"
"Chomchom","Sweet",21.99,"CAD","Origin Bangladesh","1"
"Deshi Curd","Sweet",19.99,"CAD","1000gm","0"
"Khirer Chomchom","Sweet",21.99,"CAD","1000 gm","1"
"Premium Doi in Plastic","Sweet",15.99,"CAD","1.2Lbs","0"
"Premium Ghee","Sweet",19.99,"CAD","325gm","1"
"Premium Gur Shondesh","Sweet",17.99,"CAD","1Lb","1"
"Premium Kalo Jamun","Sweet",15.99,"CAD","1Lb","1"
"Premium Khir Toast","Sweet",19.99,"CAD","1Lb","1"
"Premium Khncha Sana","Sweet",19.99,"CAD","1Lb","1"
"Premium Lal Mohon","Sweet",15.99,"CAD","1 Lb","1"
"Premium Maowa Balushai","Sweet",15.99,"CAD","1Lb","1"
"Premium Nadia Shondesh","Sweet",18.99,"CAD","1Lb","1"
"Premium Ras Gulla","Sweet",15.99,"CAD","1Lb","1"
"Premium Sweets Assorted Laddus","Sweet",15.99,"CAD","1 lb","1"
"Premium Sweets Cham Cham","Sweet",16.99,"CAD","1 lb","1"
"Premium Sweets Gulab Jamon","Sweet",15.99,"CAD","1 lb","1"
"Premium Sweets Khir Toast","Sweet",19.99,"CAD","1 lb","1"
"Premium Sweets Lal Mohan","Sweet",15.99,"CAD","1 lb","1"
"Premium Sweets Maowa Balushai","Sweet",15.99,"CAD","1 lb","1"
"Premium Sweets Mihidana Laddu","Sweet",15.99,"CAD","1 lb","1"
"Premium Sweets Motichur Laddu","Sweet",15.99,"CAD","1 lb","1"
"Premium Sweets Nadia Shandesh","Sweet",17.99,"CAD","1 lb","1"
"Premium Sweets Raj Vogh","Sweet",15.99,"CAD","1 lb","1"
"Premium Sweets Roll Shondesh","Sweet",18.99,"CAD","1 lb","1"
"Premium Sweets Sanar Toast","Sweet",15.99,"CAD","1 lb","0"
"Premium Vogh Sagar","Sweet",16.99,"CAD","1Lb","1"
"Roshgollah","Sweet",21.99,"CAD",NA,"1"
"Roshmalai","Sweet",21.99,"CAD","Origin : Bangladesh","1"
"Sweet Curd","Sweet",21.99,"CAD","1000 gm","1"
"Uddin’s Cham Cham","Sweet",9.99,"CAD","400gm","1"
"Uddin’s Chanar Shandesh","Sweet",9.99,"CAD","250gm","0"
"Uddin’s Gurer Shondesh","Sweet",9.99,"CAD","250gm","0"
"Uddin’s Kala Jamun","Sweet",8.99,"CAD","400gm","1"
"Uddin’s Kancha Golla","Sweet",9.99,"CAD","250gm","0"
"Uddin’s Malai Curry","Sweet",10.99,"CAD","454gm","0"
"Uddin’s Mix Misti","Sweet",9.99,"CAD","400gm","1"
"Uddin’s Ras Gulla","Sweet",9.99,"CAD","400gm","1"
"Uddin’s Rashmalai","Sweet",10.99,"CAD","454gm","0"
"Uddin’s White Chomchom","Sweet",9.99,"CAD","400gm","1"
"Ameen Green Tea","Tea & Coffee",5.99,"CAD","300gm","1"
"Kashmiri Pink Tea","Tea & Coffee",6.99,"CAD","150g","1"
"Lipton Yellow Label Tea","Tea & Coffee",8.49,"CAD","200gm (100 Tea Bags)","1"
"Mirzapur Tea (Bangladeshi)","Tea & Coffee",7.99,"CAD","400gm","1"
"Tapal Danedar Tea","Tea & Coffee",13.99,"CAD","900 gm (loose tea)","1"
"Tapal Danedar Tea","Tea & Coffee",9.99,"CAD","450g","1"
"Tapal Danedar Tea","Tea & Coffee",9.99,"CAD","450g","1"
"Tapal Danedar Tea 450gm","Tea & Coffee",8.99,"CAD","450gm (Loose Tea)","1"
"Tapal Family Mixture","Tea & Coffee",13.99,"CAD","900gm (Black Tea)","1"
