"Name","Category","Price","Currency","Description","Available"
"Moong Dal","Dals & Pulses",11.99,"CAD","4lb","1"
"Moong Whole","Dals & Pulses",11.99,"CAD","4lb","1"
"Red Lentils","Dals & Pulses",8.99,"CAD","4lb","1"
"Toor Dal","Dals & Pulses",8.99,"CAD","4 Lbs","1"
"Urid Dal","Dals & Pulses",8.99,"CAD","4 Lbs","1"
"Urid Whole","Dals & Pulses",9.99,"CAD","4lb","1"
"Ayre Fish (Block)","Fish And Seafood",12.99,"CAD","Weight: 500gm
Ruposhi Bangla","1"
"Bacha","Fish And Seafood",12.99,"CAD","Company: Ruposhi Bangla
Weight: 500g","1"
"Bailla","Fish And Seafood",12.99,"CAD","Company: Ruposhi Bangla
Weight: 500g","1"
"Bata Fish","Fish And Seafood",10.99,"CAD","Company: Ruposhi Bangla
Weight: 500gm","1"
"Batashi","Fish And Seafood",5.99,"CAD","Company: Ruposhi Bangla
Weight: 250g","1"
"Boal Fish (Block)","Fish And Seafood",12.99,"CAD","Weight: 500gm
Ruposhi Bangla","1"
"Bulaicha","Fish And Seafood",5.99,"CAD","Weight: 250GM
Ruposhi Bangla","0"
"Chalapata","Fish And Seafood",6.99,"CAD","Weight: 250GM
Ruposhi Bangla","1"
"Chapila Chepa (Dry)","Fish And Seafood",7.99,"CAD","Weight: 150GM
Ruposhi Bangla","1"
"Deshi Koi","Fish And Seafood",5.99,"CAD","Company: Ruposhi Bangla","1"
"Deshi Mola","Fish And Seafood",5.99,"CAD","Company: Ruposhi Bangla
Weight: 250g","1"
"Deshi Puti","Fish And Seafood",4.99,"CAD","Company: CLOBE","1"
"Dry Puti (Shidol/Chapa)","Fish And Seafood",7.99,"CAD","Weight: 150GM
Rose Or South Asia Or Deshi","1"
"Foli","Fish And Seafood",10.99,"CAD","Weight: 500GM
Ruposhi Bangla","1"
"Hilsha Block","Fish And Seafood",13.99,"CAD","500 gm","1"
"Hilsha Egg","Fish And Seafood",13.99,"CAD","Weight: 200gm
Ruposhi Bangla","1"
"Hilsha Fish Whole","Fish And Seafood",47.99,"CAD","Fresh Hilsha","1"
"Kaikka","Fish And Seafood",4.99,"CAD","Weight: 250GM
Rose Or South Asia Or Deshi","0"
"Kajoli","Fish And Seafood",6.99,"CAD","Company: Ruposhi Bangla
Weight: 250g","1"
"Kajoli","Fish And Seafood",13.99,"CAD","Weight: 500GM
Rose Or South Asia Or Deshi","0"
"Keski Fish","Fish And Seafood",3.99,"CAD","Company: Ruposhi Bangla
Weight: 250g","1"
"King Fish Whole","Fish And Seafood",49.99,"CAD","Minimum 5 lbs","0"
"Long Baim","Fish And Seafood",13.99,"CAD","Weight: 500GM
Rose Or South Asia Or Deshi","1"
"Lotia","Fish And Seafood",9.99,"CAD","Company: Clobe
Weight: 500g","1"
"Meni Fish","Fish And Seafood",10.99,"CAD","Weight: 500GM
Rose Or South Asia Or Deshi","1"
"Mix Fish","Fish And Seafood",11.99,"CAD","Weight: 500GM
Rose Or South Asia Or Deshi","1"
"Mrigal Fish Whole","Fish And Seafood",49.99,"CAD","Weight can be 100gm + –
Rose Or South Asia Or Deshi","1"
"Pabda","Fish And Seafood",13.99,"CAD","Company: Ruposhi Bangla
Weight: 500g","1"
"Poa","Fish And Seafood",9.99,"CAD","Weight: 500GM
Rose Or South Asia Or Deshi","1"
"Pompano (2 Pieces)","Fish And Seafood",13.99,"CAD","Weight: 800GM","1"
"Rani","Fish And Seafood",6.99,"CAD","Weight: 250Gm
Rose Or South Asia Or Deshi","1"
"Rohu Fish Whole","Fish And Seafood",34.99,"CAD","Rose Or South Asia Or Deshi","1"
"Shing","Fish And Seafood",10.99,"CAD","Company:  Clobe
Weight: 500gm","1"
"Shoil","Fish And Seafood",11.99,"CAD","Weight: 500GM
Rose Or South Asia Or Deshi","1"
"Shorputi","Fish And Seafood",10.99,"CAD","Weight: 500gm
Ruposhi Bangla","1"
"Silver Pomphret 300g","Fish And Seafood",12.99,"CAD",NA,"1"
"Taki Fish","Fish And Seafood",9.99,"CAD","Weight: 500GM
Rose Or South Asia Or Deshi","1"
"Tengra 500g","Fish And Seafood",11.99,"CAD","Weight: 500gm","1"
"Tilapia Fish","Fish And Seafood",60,"CAD","Weight: 18 lbs Box
Medium Size","1"
"Whole Ayre Fish","Fish And Seafood",39.99,"CAD","Fresh Fish","1"
"Whole Boal Fish","Fish And Seafood",39.99,"CAD","Fresh Fish","1"
"Whole Katal Fish","Fish And Seafood",59.99,"CAD","11Lbs
100gm + –","1"
"Whole Pangus Fish","Fish And Seafood",29.99,"CAD","7 lbs","1"
"Basan","Flour",5.99,"CAD","2lb","1"
"Basan","Flour",9.99,"CAD","4 lb","1"
"Rice Flour","Flour",6.99,"CAD","4 Lb","1"
"Rice Flour","Flour",3.99,"CAD","2lb","1"
"Sujji","Flour",3.99,"CAD","2 lb","1"
"Sujji","Flour",6.99,"CAD","4Lb","1"
