"single_product_name","single_product_category","single_product_price","single_product_currency","single_product_discription","single_product_availability"
"Chana Dal","Dals & Pulses","8.99","CAD","4lb","yes"
"Chick Peas Whole","Dals & Pulses","6.99","CAD","4lb","yes"
"Moong Dal","Dals & Pulses","11.99","CAD","4lb","yes"
"Moong Whole","Dals & Pulses","11.99","CAD","4lb","yes"
"Red Lentils","Dals & Pulses","8.99","CAD","4lb","yes"
"Toor Dal","Dals & Pulses","8.99","CAD","4 Lbs","yes"
"Urid Dal","Dals & Pulses","8.99","CAD","4 Lbs","yes"
"Urid Whole","Dals & Pulses","9.99","CAD","4lb","yes"
"Ayre Fish (Block)","Fish And Seafood","12.99","CAD","Weight: 500gm
Ruposhi Bangla","yes"
"Bacha","Fish And Seafood","12.99","CAD","Company: Ruposhi Bangla
Weight: 500g","yes"
"Bailla","Fish And Seafood","12.99","CAD","Company: Ruposhi Bangla
Weight: 500g","yes"
"Bata Fish","Fish And Seafood","10.99","CAD","Company: Ruposhi Bangla
Weight: 500gm","yes"
"Batashi","Fish And Seafood","5.99","CAD","Company: Ruposhi Bangla
Weight: 250g","yes"
"Boal Fish (Block)","Fish And Seafood","12.99","CAD","Weight: 500gm
Ruposhi Bangla","yes"
"Bulaicha","Fish And Seafood","5.99","CAD","Weight: 250GM
Ruposhi Bangla","no"
"Chalapata","Fish And Seafood","6.99","CAD","Weight: 250GM
Ruposhi Bangla","yes"
"Chapila Chepa (Dry)","Fish And Seafood","7.99","CAD","Weight: 150GM
Ruposhi Bangla","yes"
"Deshi Koi","Fish And Seafood","5.99","CAD","Company: Ruposhi Bangla","yes"
"Deshi Mola","Fish And Seafood","5.99","CAD","Company: Ruposhi Bangla
Weight: 250g","yes"
"Deshi Puti","Fish And Seafood","4.99","CAD","Company: CLOBE","yes"
"Dry Puti (Shidol/Chapa)","Fish And Seafood","7.99","CAD","Weight: 150GM
Rose Or South Asia Or Deshi","yes"
"Foli","Fish And Seafood","10.99","CAD","Weight: 500GM
Ruposhi Bangla","yes"
"Hilsha Block","Fish And Seafood","13.99","CAD","500 gm","yes"
"Hilsha Egg","Fish And Seafood","13.99","CAD","Weight: 200gm
Ruposhi Bangla","yes"
"Hilsha Fish Whole","Fish And Seafood","47.99","CAD","Fresh Hilsha","yes"
"Kaikka","Fish And Seafood","4.99","CAD","Weight: 250GM
Rose Or South Asia Or Deshi","no"
"Kajoli","Fish And Seafood","6.99","CAD","Company: Ruposhi Bangla
Weight: 250g","yes"
"Kajoli","Fish And Seafood","13.99","CAD","Weight: 500GM
Rose Or South Asia Or Deshi","no"
"Keski Fish","Fish And Seafood","3.99","CAD","Company: Ruposhi Bangla
Weight: 250g","yes"
"King Fish Whole","Fish And Seafood","49.99","CAD","Minimum 5 lbs","no"
"Long Baim","Fish And Seafood","13.99","CAD","Weight: 500GM
Rose Or South Asia Or Deshi","yes"
"Lotia","Fish And Seafood","9.99","CAD","Company: Clobe
Weight: 500g","yes"
"Meni Fish","Fish And Seafood","10.99","CAD","Weight: 500GM
Rose Or South Asia Or Deshi","yes"
"Mix Fish","Fish And Seafood","11.99","CAD","Weight: 500GM
Rose Or South Asia Or Deshi","yes"
"Mrigal Fish Whole","Fish And Seafood","49.99","CAD","Weight can be 100gm + –
Rose Or South Asia Or Deshi","yes"
"Pabda","Fish And Seafood","13.99","CAD","Company: Ruposhi Bangla
Weight: 500g","yes"
"Poa","Fish And Seafood","9.99","CAD","Weight: 500GM
Rose Or South Asia Or Deshi","yes"
"Pompano (2 Pieces)","Fish And Seafood","13.99","CAD","Weight: 800GM","yes"
"Rani","Fish And Seafood","6.99","CAD","Weight: 250Gm
Rose Or South Asia Or Deshi","yes"
"Rohu Fish Whole","Fish And Seafood","34.99","CAD","Rose Or South Asia Or Deshi","yes"
"Shing","Fish And Seafood","10.99","CAD","Company:  Clobe
Weight: 500gm","yes"
"Shoil","Fish And Seafood","11.99","CAD","Weight: 500GM
Rose Or South Asia Or Deshi","yes"
"Shorputi","Fish And Seafood","10.99","CAD","Weight: 500gm
Ruposhi Bangla","yes"
"Silver Pomphret 300g","Fish And Seafood","12.99","CAD",NA,"yes"
"Taki Fish","Fish And Seafood","9.99","CAD","Weight: 500GM
Rose Or South Asia Or Deshi","yes"
"Tengra 500g","Fish And Seafood","11.99","CAD","Weight: 500gm","yes"
"Tilapia Fish","Fish And Seafood","60.00","CAD","Weight: 18 lbs Box
Medium Size","yes"
"Whole Ayre Fish","Fish And Seafood","39.99","CAD","Fresh Fish","yes"
"Whole Boal Fish","Fish And Seafood","39.99","CAD","Fresh Fish","yes"
"Whole Katal Fish","Fish And Seafood","59.99","CAD","11Lbs
100gm + –","yes"
"Whole Pangus Fish","Fish And Seafood","29.99","CAD","7 lbs","yes"
"Basan","Flour","5.99","CAD","2lb","yes"
"Basan","Flour","9.99","CAD","4 lb","yes"
"Hard Wheat","Flour",NA,NA,NA,"yes"
"Rice Flour","Flour","6.99","CAD","4 Lb","yes"
"Rice Flour","Flour","3.99","CAD","2lb","yes"
"Sujji","Flour","3.99","CAD","2 lb","yes"
"Sujji","Flour","6.99","CAD","4Lb","yes"
"Bhapa Pitha","Frozen Snack","7.99","CAD","550 gm","yes"
"Chanar Sandesh","Frozen Snack","24.99","CAD","1000 gm","yes"
"Chitol Pitha","Frozen Snack","7.99","CAD",NA,"yes"
"Chomchom","Frozen Snack","21.99","CAD","Origin Bangladesh","yes"
"Khirer Chomchom","Frozen Snack","21.99","CAD","1000 gm","yes"
"Nokshi Pitha","Frozen Snack","10.99","CAD","600 gm","no"
"Nun Gora","Frozen Snack","8.99","CAD","800 gm","yes"
"Puli Pitha","Frozen Snack","8.99","CAD","500 gm","yes"
"Roshgollah","Frozen Snack","21.99","CAD",NA,"yes"
"Roshmalai","Frozen Snack","21.99","CAD","Origin : Bangladesh","yes"
"Shahi Mughlai Paratha","Frozen Snack","6.99","CAD","400 gm","no"
"Sweet Curd","Frozen Snack","21.99","CAD","1000 gm","yes"
"Sylhety Bakor Khani","Frozen Snack","7.99","CAD","300 gm","yes"
"Bitiku (Frozen)","Frozen Vegetables","5.99","CAD","500g","yes"
"Chalta (Elephant Apple) Cut","Frozen Vegetables","3.99","CAD","300g","yes"
