"single_product_name","single_product_category","single_product_price","single_product_currency","single_product_discription","single_product_availability"
"Radhuni Roast Masala","Radhuni Spices","2.49","CAD","35gm","yes"
"Radhuni Tehari Masala","Radhuni Spices","2.49","CAD","50gm","yes"
"Aromatic Broken Rice","Rice","8.99","CAD","4Lb","yes"
"Banoful Chinigura Rice","Rice","6.99","CAD","1kg","yes"
"Banoful Kalijeera Rice","Rice","23.99","CAD","10 lbs","yes"
"Fatima Kalijjera Rice","Rice",NA,NA,"10 Lb","yes"
"Hilal Basmati Rice","Rice","18.99","CAD","10 lbs","yes"
"Hilal Basmati Sella Rice","Rice","18.99","CAD","10 lbs","yes"
"Minar Classic Basmati Rice","Rice","20.99","CAD","10 lbs","yes"
"Naj Kalijeera Rice","Rice","23.99","CAD","10 lbs","yes"
"Nayab Basmati Rice","Rice","10.99","CAD",NA,"yes"
"Noori Basmati Rice","Rice","9.99","CAD","8 lbs","no"
"Noori Sella Basmati Rice","Rice","9.99","CAD","8 lbs","no"
"Parboiled Broken Rice","Rice","6.99","CAD","4Lb","yes"
"Ruposhi Bangla Miniket Perboil Rice","Rice","21.99","CAD","20 lbs","yes"
"Ruposhi Bangla Nazirshail Perboil Rice","Rice","21.99","CAD","20 lbs","yes"
"Saleem Caravan Basmati","Rice","18.99","CAD","10 lbs","yes"
"Tilda Basmati Rice","Rice","20.99","CAD","10 lbs","yes"
"Zafarani Basmati Rice","Rice","16.99","CAD","10 lbs","no"
"Black Pepper Whole","Spices","3.99","CAD",NA,"yes"
"Chilli Powder 200g","Spices","3.99","CAD","200gm","yes"
"Cinnamon Bark","Spices","3.99","CAD",NA,"yes"
"Clove Whole 100g","Spices","5.99","CAD",NA,"yes"
"Desi Tandoori Masala","Spices","10.99","CAD","Original Desi Mazaa","yes"
"Green Cardamon","Spices","5.99","CAD",NA,"yes"
"Kalonji Powder 200g","Spices","3.99","CAD",NA,"yes"
"Kalonji seed 200gm","Spices","3.99","CAD",NA,"yes"
"Kashmiri Chilli Powder","Spices","3.99","CAD","200gm","yes"
"Mace Powder","Spices","3.99","CAD","50gm","yes"
"Mace Whole","Spices","6.99","CAD","25g","yes"
"Panch Phoran 200gm","Spices","3.99","CAD",NA,"yes"
"Panchpuram Whole 200g","Spices","3.99","CAD","200gm","yes"
"Shan Biriyani Masala","Spices","2.25","CAD","50gm","yes"
"Shan Bombay Biriyani","Spices","2.25","CAD","50gm","yes"
"Shan Butter Chicken","Spices","2.25","CAD","50gm","yes"
"Shan Chapli Kabab","Spices","2.25","CAD","50gm","yes"
"Shan Garlic & Ginger Mix Paste","Spices","7.99","CAD","700gm","yes"
"Shan Garlic Paste","Spices","3.99","CAD","700gm","yes"
"Shan Ginger Paste","Spices","3.99","CAD","paste from fresh ginger","yes"
"Shan Haleem Masala","Spices","2.25","CAD","50gm","yes"
"Shan Pulao Biriyani","Spices","2.25","CAD","50gm","yes"
"Shan Shami Kabab","Spices","2.25","CAD","50gm","yes"
"Shan Sindhi Biriyani","Spices","2.25","CAD","50gm","yes"
"Shan Tandori Chicken","Spices","2.25","CAD","50gm","yes"
"Shan Tikka Boti","Spices","2.25","CAD","50gm","yes"
"Tit Bit Black Musterd Seed","Spices","3.99","CAD","200gm","yes"
"Tit Bit Cumin Powder","Spices","3.99","CAD","200gm","yes"
"Tit Bit Cumin Seed","Spices","3.99","CAD","200gm","yes"
"Tit Bit Fennel Powder","Spices","3.99","CAD","200gm","yes"
"Tit Bit Fennel Seed","Spices","3.99","CAD","200gm","yes"
"Tit Bit Fenugreek Powder","Spices","3.99","CAD","200gm","yes"
"Tit Bit Fenugreek seed","Spices","3.99","CAD","200gm","yes"
"Tit Bit Garam Masala Powder","Spices","3.99","CAD","200gm","yes"
"Tit Bit Kalonji Powder","Spices","3.99","CAD","200gm","yes"
"Tit Bit Kalonji Whole","Spices","3.99","CAD","200gm","yes"
"Tit Bit Musterd Powder","Spices","3.99","CAD","200gm","yes"
"Tit Bit Nutmeg Whole","Spices","3.99","CAD","50gm","yes"
"Tit Bit Yellow Musterd Seed","Spices","3.99","CAD","200gm","yes"
"Tukmaria","Spices","2.99","CAD","200gm","yes"
"Chanar Sandesh","Sweet","24.99","CAD","1000 gm","yes"
"Chomchom","Sweet","21.99","CAD","Origin Bangladesh","yes"
"Deshi Curd","Sweet","19.99","CAD","1000gm","no"
"Khirer Chomchom","Sweet","21.99","CAD","1000 gm","yes"
"Premium Doi in Plastic","Sweet","15.99","CAD","1.2Lbs","no"
"Premium Ghee","Sweet","19.99","CAD","325gm","yes"
"Premium Gur Shondesh","Sweet","17.99","CAD","1Lb","yes"
"Premium Kalo Jamun","Sweet","15.99","CAD","1Lb","yes"
"Premium Khir Toast","Sweet","19.99","CAD","1Lb","yes"
"Premium Khncha Sana","Sweet","19.99","CAD","1Lb","yes"
"Premium Lal Mohon","Sweet","15.99","CAD","1 Lb","yes"
"Premium Maowa Balushai","Sweet","15.99","CAD","1Lb","yes"
"Premium Nadia Shondesh","Sweet","18.99","CAD","1Lb","yes"
"Premium Ras Gulla","Sweet","15.99","CAD","1Lb","yes"
"Premium Sweets Assorted Laddus","Sweet","15.99","CAD","1 lb","yes"
"Premium Sweets Cham Cham","Sweet","16.99","CAD","1 lb","yes"
"Premium Sweets Gulab Jamon","Sweet","15.99","CAD","1 lb","yes"
"Premium Sweets Khir Toast","Sweet","19.99","CAD","1 lb","yes"
"Premium Sweets Lal Mohan","Sweet","15.99","CAD","1 lb","yes"
"Premium Sweets Maowa Balushai","Sweet","15.99","CAD","1 lb","yes"
"Premium Sweets Mihidana Laddu","Sweet","15.99","CAD","1 lb","yes"
"Premium Sweets Motichur Laddu","Sweet","15.99","CAD","1 lb","yes"
"Premium Sweets Nadia Shandesh","Sweet","17.99","CAD","1 lb","yes"
"Premium Sweets Raj Vogh","Sweet","15.99","CAD","1 lb","yes"
"Premium Sweets Roll Shondesh","Sweet","18.99","CAD","1 lb","yes"
"Premium Sweets Sanar Toast","Sweet","15.99","CAD","1 lb","no"
"Premium Vogh Sagar","Sweet","16.99","CAD","1Lb","yes"
"Roshgollah","Sweet","21.99","CAD",NA,"yes"
"Roshmalai","Sweet","21.99","CAD","Origin : Bangladesh","yes"
"Sweet Curd","Sweet","21.99","CAD","1000 gm","yes"
"Uddin’s Cham Cham","Sweet","9.99","CAD","400gm","yes"
"Uddin’s Chanar Shandesh","Sweet","9.99","CAD","250gm","no"
"Uddin’s Gurer Shondesh","Sweet","9.99","CAD","250gm","no"
"Uddin’s Kala Jamun","Sweet","8.99","CAD","400gm","yes"
"Uddin’s Kancha Golla","Sweet","9.99","CAD","250gm","no"
"Uddin’s Malai Curry","Sweet","10.99","CAD","454gm","no"
"Uddin’s Mix Misti","Sweet","9.99","CAD","400gm","yes"
"Uddin’s Ras Gulla","Sweet","9.99","CAD","400gm","yes"
"Uddin’s Rashmalai","Sweet","10.99","CAD","454gm","no"
"Uddin’s White Chomchom","Sweet","9.99","CAD","400gm","yes"
"Ameen Green Tea","Tea & Coffee","5.99","CAD","300gm","yes"
"Kashmiri Pink Tea","Tea & Coffee","6.99","CAD","150g","yes"
"Lipton Yellow Label Tea","Tea & Coffee","8.49","CAD","200gm (100 Tea Bags)","yes"
"Mirzapur Tea (Bangladeshi)","Tea & Coffee","7.99","CAD","400gm","yes"
"Tapal Danedar Tea","Tea & Coffee","13.99","CAD","900 gm (loose tea)","yes"
"Tapal Danedar Tea","Tea & Coffee","9.99","CAD","450g","yes"
"Tapal Danedar Tea","Tea & Coffee","9.99","CAD","450g","yes"
"Tapal Danedar Tea 450gm","Tea & Coffee","8.99","CAD","450gm (Loose Tea)","yes"
"Tapal Family Mixture","Tea & Coffee","13.99","CAD","900gm (Black Tea)","yes"
